screen_name,score
EbrimaJadama15,0.0078
GampingPolsek,0.5077
Abulhas86288905,0.0432
ComentarioUdeC,0.0333
bengklmahaputra,0.2048
MeaCulpagr,0.0613
DesiChicFashion,0.1597
Netty94732003,0.9100
ChicagolandArea,0.2432
SunnyKu88280451,0.0022
KecSumurbandung,0.8166
urawamisonotds,0.9173
Naijasurfng,0.1359
FreeSpeech_0,0.9851
ManojSansare143,0.0080
paulmcclintock,0.9986
PerCapitaDeaths,0.0798
KelownaCapNews,0.7979
IntermaxFun,0.7316
Naijaray_com,0.3241
RFazoo,0.4207
jayoung1892,0.0388
milligazetecom,0.2414
firmenpresse,0.0885
LaPrensaTachira,0.0824
France24_es,0.5774
AquiMadrid_,0.3444
DrDinD,0.3465
Brandy_Shp,0.3313
XHVXTabasco,0.1203
caracolguaviare,0.0718
ENTERTA62718764,0.9477
Ruptly,0.9987
KODIM0726_SKH,0.0113
GacetaUcayalina,0.1341
EsDiarioPopular,0.1722
News18Punjab,0.0094
ArkasLtd,0.6230
Mauro73432329,0.9990
MiDiarioPanama,0.0880
annarbornews,0.7191
digitalindiaexp,0.0685
Jual003,0.0085
en9as,0.1113
lFq3CWPPpYspo5r,0.9108
TgrRaiVeneto,0.5897
diarioboletin24,0.0319
vialta_salud,0.0878
africaminenews,0.6839
healthierphilly,0.0975
tribunadonorte,0.0001
lanuevaespana,0.4075
TheNewsMalaysia,0.0389
newpostgr,0.8090
8nakane,0.8003
Marathi24News,0.0009
mgazamedia,0.1373
gerardnerr,0.9865
abproduccion21,0.9375
nancy_westberg,0.7969
emrondonia,0.0248
viadescapetv,0.2942
EugenioBerto70,0.0442
guwahatipost,0.0069
pihole_fosser,0.5686
janmabhumidaily,0.5765
LT_LegalContent,0.2170
PercieModel1,0.0176
BlueTeamGA,0.9886
Otong58858547,0.0072
rendizputra,0.0003
mailnewsonline,0.3716
24matins_es,0.1445
LuisanaBvarR,0.0560
hispanopost,0.0892
pindainews,0.8536
ADNsur,0.7612
